extractor,nfeatures,use_mean_filter,std_multiplier,final_error,avg_processing_time
orb,3000,False,,23.375958997981716,0.1754756815293256
orb,3000,True,1,25.32612412572351,0.1522363400926777
orb,3000,True,2,25.66670106630098,0.15049168175342037
orb,6000,False,,19.371504835229462,0.21664034619050868
orb,6000,True,1,22.057491943044983,0.22868833822362564
orb,6000,True,2,23.523842623350802,0.24039072148940144
mobilenet_v2,3000,False,,34.76895392036972,36.526639550339944
mobilenet_v2,3000,True,1,31.658428930433125,38.04058582175012
mobilenet_v2,3000,True,2,35.892114215394606,38.75327582920299
mobilenet_v2,6000,False,,35.532257303805565,164.33693244410497
mobilenet_v2,6000,True,1,29.718494624499193,144.9810559609357
mobilenet_v2,6000,True,2,34.94823178910613,133.89874901491052
vgg,3000,False,,24.706943527852637,24.74600957889183
vgg,3000,True,1,29.44554453464372,25.90132757729175
vgg,3000,True,2,35.329428606328214,28.67280735689051
vgg,6000,False,,38.73718665719276,79.24032474499123
vgg,6000,True,1,28.597761569578495,66.2583172414817
vgg,6000,True,2,31.597697136657374,66.96220952389287
